	County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
36	Jefferson	AL	591	14.4	11.3	11.3	27118.0	21937.0
184	Alameda	CA	1964	10.7	4.8	7.6	65423.0	29143.0
190	Contra Costa	CA	1414	7.5	4.0	9.4	39653.0	20836.0
202	Los Angeles	CA	2447	17.7	5.4	7.9	457033.0	181018.0
213	Orange	CA	3785	10.6	4.7	7.6	135702.0	51060.0
217	Sacramento	CA	1412	13.7	5.6	10.9	58592.0	28774.0
220	San Diego	CA	698	11.6	4.9	10.5	133137.0	59354.0
221	San Francisco	CA	15837	12.0	3.9	11.0	25255.0	18969.0
224	San Mateo	CA	1558	6.8	4.1	7.1	30483.0	14256.0
226	Santa Clara	CA	1316	8.8	4.0	7.6	81257.0	26130.0
227	Santa Cruz	CA	561	11.3	4.0	13.0	10669.0	5098.0
244	Arapahoe	CO	659	7.9	5.0	16.5	23114.0	8722.0
258	Denver	CO	3638	15.1	6.7	14.2	34354.0	13530.0
272	Jefferson	CO	682	6.8	5.5	16.1	19626.0	10089.0
306	Fairfield	CT	1443	7.3	5.3	6.3	36336.0	21011.0
307	Hartford	CT	1193	9.2	6.3	7.6	31212.0	23682.0
310	New Haven	CT	1398	9.4	6.8	7.6	30738.0	23078.0
315	New Castle	DE	1227	8.2	9.4	11.1	21109.0	12346.0
317	Washington	DC	8966	17.5	10.9	6.0	22742.0	17375.0
322	Brevard	FL	522	10.1	6.5	17.5	14613.0	16256.0
323	Broward	FL	1475	12.5	6.5	13.3	67007.0	48248.0
332	Duval	FL	1068	12.8	10.3	14.5	36661.0	20511.0
345	Hillsborough	FL	1077	13.0	8.7	12.6	45253.0	26268.0
352	Lee	FL	678	10.2	6.5	14.3	16382.0	16162.0
360	Miami-Dade	FL	1221	18.9	5.9	9.1	97091.0	55624.0
365	Orange	FL	1127	13.2	7.5	9.9	43304.0	19432.0
367	Palm Beach	FL	643	10.9	7.4	12.5	42293.0	40726.0
368	Pasco	FL	576	11.9	6.6	18.7	11773.0	16150.0
369	Pinellas	FL	3315	12.1	7.6	16.3	27592.0	37641.0
375	Sarasota	FL	641	8.4	5.1	17.1	8618.0	14238.0
376	Seminole	FL	1303	9.1	5.5	13.0	13633.0	8050.0
395	Bibb	GA	620	18.9	13.3	11.7	7609.0	4984.0
409	Chatham	GA	544	16.8	10.7	10.3	10951.0	6806.0
413	Clarke	GA	865	18.7	9.4	9.2	6806.0	3222.0
415	Clayton	GA	1879	13.9	10.2	11.5	13391.0	4067.0
417	Cobb	GA	1952	9.6	6.4	9.2	31600.0	9967.0
428	DeKalb	GA	2528	13.2	9.2	9.7	32375.0	11887.0
432	Douglas	GA	566	10.0	5.8	14.0	7237.0	3181.0
440	Fayette	GA	529	5.2	4.6	8.3	4595.0	2759.0
442	Forsyth	GA	622	5.7	5.2	14.1	9882.0	2858.0
444	Fulton	GA	1732	16.2	8.7	8.7	40860.0	18471.0
451	Gwinnett	GA	1678	8.2	6.5	9.6	34815.0	8012.0
459	Henry	GA	520	6.6	7.5	14.7	11222.0	3854.0
490	Muscogee	GA	857	16.8	15.8	11.4	8901.0	5470.0
505	Richmond	GA	604	18.6	10.7	12.0	9606.0	5831.0
506	Rockdale	GA	601	10.9	3.2	10.3	5044.0	2540.0
545	Honolulu	HI	1509	10.5	7.3	9.5	38506.0	18565.0
608	Cook	IL	5608	14.5	8.5	7.5	247949.0	134307.0
614	DuPage	IL	2785	5.9	6.6	7.3	39133.0	17092.0
637	Kane	IL	926	7.4	6.5	8.4	24712.0	7572.0
641	Lake	IL	1570	6.9	5.0	7.6	31544.0	11514.0
648	McHenry	IL	504	4.5	4.0	6.4	12521.0	4838.0
691	Will	IL	768	6.7	6.2	9.2	27088.0	9565.0
693	Winnebago	IL	562	12.3	8.5	10.1	11909.0	7470.0
696	Allen	IN	523	10.2	7.2	13.2	15756.0	7927.0
723	Hamilton	IN	605	3.6	6.4	9.5	10229.0	2914.0
739	Lake	IN	993	12.7	9.3	10.8	20729.0	14436.0
743	Marion	IN	2178	12.5	8.5	12.4	43869.0	22658.0
765	St. Joseph	IN	582	11.8	7.4	11.8	11339.0	7252.0
776	Vanderburgh	IN	738	11.8	9.4	16.0	6950.0	5647.0
863	Polk	IA	704	8.6	5.8	11.3	18625.0	8506.0
931	Johnson	KS	1062	4.8	4.5	10.7	21746.0	8591.0
990	Wyandotte	KS	1029	16.1	10.1	17.1	8477.0	4669.0
1009	Campbell	KY	576	10.3	7.1	11.8	6163.0	4342.0
1024	Fayette	KY	942	13.0	6.1	10.0	11105.0	6005.0
